day_nr,Consumption_Type_A
541,229.65
542,235.4
543,194.25
544,174.6
545,84.55
546,93.1
547,213.65
548,232.75
549,196.8
550,205.5
551,184.3
552,79.2
553,46.6
554,231.2
555,241.1
556,53.2
557,210.9
558,174.85
559,73.65
560,41.6
561,193.6
562,191.15
563,226.75
564,207.85
565,180.4
566,70.85
567,45.5
568,203.1
569,183.55
570,183.2
571,166.85
572,172.95
573,80.45
574,50.2
575,203.45
576,199.05
577,177
578,189.5
579,179.15
580,91.15
581,45.2
582,224
583,186.6
584,224.2
585,182.5
586,143.25
587,66.75
588,43.9
589,223.25
590,234.1
591,234.65
592,210.25
593,207.3
594,70.1
595,43.65
596,243.1
597,224.75
598,221.95
599,224.05
600,208.45
601,71.6
602,51.1
603,222.7
604,226.7
605,203.4
606,225.7
607,147.2
608,72.6
609,45.4
610,215
611,213.45
612,206.55
613,230.3
614,179.85
615,67.75
616,40.8
617,210
618,245.6
619,216.2
620,227.3
621,192.1
622,70.05
623,54.4
624,243.75
625,232.2
626,238.4
627,231.3
628,205.05
629,74.6
630,53.6
631,259.7
632,219.2
633,245.35
634,59.05
635,177.75
636,103.05
637,63.15
638,259.8
639,239.15
640,228.35
641,201.05
642,199.5
643,74
644,54.75
645,61.8
646,208.5
647,264.1
648,195.95
649,204.3
650,77.4
651,57.85
652,229.4
653,265.85
654,265.3
655,220.75
656,196.55
657,78.75
658,62.3
659,247.1
660,241.7
661,229.15
662,255.8
663,173.05
664,80.1
665,59.75
666,204.2
667,256.35
668,234.5
669,221.55
670,191.5
671,69.15
672,52.15
673,242.3
674,212.8
675,232.4
676,292.4
677,227
678,187.9
679,115.25
680,256.3
681,248.65
682,215.55
683,236.85
684,165.05
685,79.25
686,64.3
687,179.5
688,84.05
689,208.55
690,229.8
691,207.5
692,94.2
693,61.35
694,134.55
695,66
696,265.65
697,303.2
698,237.45
699,77
700,63.95
701,261.3
702,281.45
703,257.1
704,279.25
705,240.05
706,78.5
707,53.45
708,264.9
709,256.45
710,248.2
711,286
712,196.65
713,84.25
714,71.85
715,231.45
716,262.15
717,230.55
718,230.45
719,198.55
720,69.7
721,65.2
722,245.5
723,252.4
724,277
725,271.3
726,239.85
727,78.3
728,73.55
729,276.3
730,233.65
731,266.45
732,241.2
733,98.05
734,287.35
735,63.65
736,310.75
737,351.05
738,309.7
739,343.4
740,301.7
741,299.55
742,269.6
743,255.75
744,132.65
745,56.8
746,299.9
747,308.85
748,295.95
749,302.65
750,310.15
751,111
752,46.8
753,335.05
754,334.1
755,347.55
756,305.6
757,253.1
758,104.75
759,49.5
760,287.55
761,296.55
762,326
763,343.25
764,352.15
765,197.3
766,101.95
767,330.75
768,328.65
769,323.35
770,301.9
771,275.9
772,182.25
773,51.7
774,322.7
775,315.3
776,332.85
777,324.25
778,291.5
779,119.6
780,50.1
781,332
782,328.4
783,338.35
784,314.45
785,237.2
786,186.75
787,53.75
788,355
789,319.75
790,344.1
791,340.7
792,296.15
793,165.5
794,44
795,290.65
796,303.65
797,299.5
798,286.95
799,289.85
800,88.2
801,46.45
802,46.05
803,300.85
804,304.3
805,308.65
806,301.2
807,137.2
808,48.9
809,309.15
810,305.75
811,313.65
812,310.3
813,252.35
814,108.65
815,120.15
816,154.1
817,299.2
818,325.6
819,326.5
820,288.1
821,160.5
822,51.85
823,321.5
824,321.85
825,316.05
826,311.7
827,267.8
828,161.25
829,115.25
830,335.45
831,277.95
832,288
833,277.25
834,251.1
835,142.4
836,42.1
837,298.85
838,302.05
839,308.55
840,34.2
841,165.7
842,70.75
843,39.25
844,263.4
845,304.2
846,277.9
847,259.5
848,259.35
849,142.35
850,46.65
851,81.45
852,278.9
853,302
854,284.8
855,279.4
856,180.55
857,48.65
858,265.3
859,267.7
860,257.4
861,245.45
862,248.5
863,112
864,44.85
865,241.55
866,259.95
867,276.7
868,244.15
869,232.35
870,112.65
871,34.25
872,288.6
873,277.65
874,309.15
875,287.35
876,301.55
877,80.1
878,52.65
879,284.85
880,271.75
881,267
882,244.85
883,276.45
884,93.45
885,46.45
886,314.3
887,294.8
888,278.7
889,273.7
890,233.1
891,128.35
892,41.6
893,309.05
894,281.2
895,264.7
896,295.3
897,56
898,172.75
899,46.4
900,280.45
901,285.6
902,291.35
903,273.55
904,222.3
905,67.75
906,42.9
907,293.9
908,262.95
909,294.9
910,294.6
911,230.35
912,113.75
913,75.55
914,283.55
915,235.15
916,271.55
917,268.2
918,207.15
919,93.35
920,45.2
921,267.5
922,47.55
923,276.5
924,273.65
925,271.4
926,73.85
927,44.85
928,290.6
929,320.2
930,302.95
931,302.1
932,238.9
933,83.15
934,46.25
935,274.95
936,258.1
937,279.8
938,278.55
939,254.1
940,61.85
941,39.3
942,269.65
943,278.2
944,307.9
945,287.5
946,296.55
947,59.65
948,34.35
949,282.3
950,272.8
951,275.15
952,270.95
953,245.1
954,85.55
955,64.9
956,272.35
957,237.95
958,284.55
959,248.55
960,259.95
961,90.75
962,53.8
963,278.15
964,290.35
965,299.05
966,258.5
967,243.95
968,71.35
969,45.45
970,270.75
971,274.2
972,295.2
973,273.65
974,250.15
975,76.8
976,47.45
977,277.7
978,264.55
979,283.25
980,255.85
981,214.95
982,115.35
983,50.55
984,261.25
985,249.85
986,292.15
987,253.2
988,234.75
989,74.1
990,47.6
991,281.3
992,288.25
993,284.55
994,267.95
995,228
996,79.9
997,52.5
998,292.1
999,271.15
1000,57.25
1001,221.2
1002,234.8
1003,102.1
1004,53.05
1005,247.95
1006,242.7
1007,235.65
1008,243.35
1009,206.95
1010,63.1
1011,53.9
1012,207
1013,231.85
1014,250.8
1015,205.5
1016,211.15
1017,101.15
1018,67.35
1019,238.55
1020,250.7
1021,255
1022,207.35
1023,203.45
1024,88.3
1025,78.5
1026,258
1027,244.45
1028,237.7
1029,227.9
1030,236.2
1031,115.4
1032,80
1033,242.75
1034,261.85
1035,219.35
1036,252.25
1037,256.6
1038,184.8
1039,115.45
1040,247.45
1041,295.35
1042,247.25
1043,215.2
1044,202.15
1045,99.45
1046,88.45
1047,229.5
1048,223.35
1049,223.15
1050,191.3
1051,149.7
1052,91.7
1053,73.2
1054,56.6
1055,221.25
1056,194.15
1057,199.9
1058,171.05
1059,88.65
1060,54.45
1061,57.95
1062,240
1063,250.1
1064,261.45
1065,236.35
1066,105.05
1067,78.25
1068,285.2
1069,277.45
1070,208.75
1071,194.5
1072,155.3
1073,101.7
1074,75.6
1075,193.95
1076,197.65
1077,248.6
1078,206.7
1079,179.25
1080,67.95
1081,73.65
1082,220.5
1083,203.6
1084,219.45
1085,232.4
1086,207.65
1087,100.05
1088,56.35
1089,213.55
1090,224.9
1091,233.15
1092,232.75
1093,206.75
1094,122.25
1095,69.4
1096,238
1097,228.55
1098,243.75
