StartDate,Consumption
19-10-2019,44.15
20-10-2019,225.45
21-10-2019,218.3
22-10-2019,240.45
23-10-2019,203.15
24-10-2019,156.05
25-10-2019,72.55
26-10-2019,43.25
28-10-2019,271.15
29-10-2019,216.1
30-10-2019,217.4
31-10-2019,223.35
01-11-2019,44.1
02-11-2019,64.15
03-11-2019,42.85
04-11-2019,218.35
05-11-2019,208.1
06-11-2019,188.65
07-11-2019,230.9
08-11-2019,195.95
09-11-2019,76
10-11-2019,49.2
11-11-2019,45.6
12-11-2019,232.45
13-11-2019,215.35
14-11-2019,216
15-11-2019,184.25
16-11-2019,75.2
17-11-2019,52
18-11-2019,216.05
19-11-2019,218.9
20-11-2019,247.95
21-11-2019,249.3
22-11-2019,202.45
23-11-2019,65.7
24-11-2019,49.15
25-11-2019,222.95
26-11-2019,199.05
27-11-2019,219.9
28-11-2019,187.8
29-11-2019,204.8
30-11-2019,72.75
01-12-2019,54.7
02-12-2019,232.15
03-12-2019,238.35
04-12-2019,218.8
05-12-2019,241.25
06-12-2019,206.35
07-12-2019,78.05
08-12-2019,44.65
09-12-2019,224.8
10-12-2019,229
11-12-2019,215.55
12-12-2019,227.65
13-12-2019,178.2
14-12-2019,72.6
15-12-2019,45.9
16-12-2019,252.5
17-12-2019,184.25
18-12-2019,221.95
19-12-2019,222.6
20-12-2019,195.55
21-12-2019,62.25
22-12-2019,42.8
23-12-2019,215.9
24-12-2019,168.8
25-12-2019,50.05
26-12-2019,186.6
27-12-2019,156.35
28-12-2019,74.1
29-12-2019,59.85
30-12-2019,226.45
31-12-2019,144.8
01-01-2020,59.85
02-01-2020,207.35
03-01-2020,214.25
04-01-2020,70
05-01-2020,51.15
06-01-2020,276.35
07-01-2020,260.15
08-01-2020,243.3
09-01-2020,190.55
10-01-2020,171.5
11-01-2020,77.8
12-01-2020,56.05
13-01-2020,188.5
14-01-2020,159.3
15-01-2020,224
16-01-2020,216.1
17-01-2020,155.4
18-01-2020,67.4
19-01-2020,53.9
20-01-2020,208.2
21-01-2020,227.3
22-01-2020,257.2
23-01-2020,247.8
24-01-2020,189.65
25-01-2020,81.9
26-01-2020,53.5
27-01-2020,238.85
28-01-2020,243.05
29-01-2020,248.05
30-01-2020,227.85
31-01-2020,202.4
01-02-2020,74.8
02-02-2020,47.45
03-02-2020,230.6
04-02-2020,205.6
05-02-2020,229.1
06-02-2020,259.2
07-02-2020,0
11-02-2018,62.25
12-02-2018,237.7
13-02-2018,235.05
14-02-2018,256.65
07-02-2018,243.75
08-02-2018,251.5
09-02-2018,245.65
10-02-2018,104.3
15-02-2018,230.7
16-02-2018,206.15
17-02-2018,92.5
18-02-2018,72.3
19-02-2018,221.25
20-02-2018,258
21-02-2018,219.9
22-02-2018,223.55
23-02-2018,244.9
24-02-2018,91.75
25-02-2018,75.5
26-02-2018,247.7
27-02-2018,246.9
28-02-2018,278.1
01-03-2018,251.6
02-03-2018,247.6
03-03-2018,132.55
04-03-2018,72.85
05-03-2018,233.4
06-03-2018,249.1
07-03-2018,307.6
08-03-2018,234.8
09-03-2018,189.8
10-03-2018,101.85
11-03-2018,63.25
